,rule_title,rule_text
726,Casanova,"cap up, whether you are talking about the original (Giacomo Girolamo Casanova de Seingalt, 1725-98), or any latterday womaniser (“he is the Casanova of the Observer”)"
727,casbah,rather than kasbah
728,cashflow,
729,cash for honours,"noun but cash-for-honours should, like similar phrases, be hyphenated when used adjectivally (the cash-for-honours scandal)"
730,cashmere,fabric
731,caster,"sugar, wheels on a sofa; castor oil; Caster Semenya South African runner"
732,casting director,sometimes mistakenly referred to as a “casting agent”
733,castoff,"one word (noun, adjective); cast off two words (verb)"
734,"Castro, Raúl",
735,casual (workers),freelance is often preferable
736,casualties,"includes dead and injured, so not a synonym for deaths; casualty lc, as in she’s been taken to casualty (though normally called A&E)"
737,Cat scan,or CT scan ; it stands for computerised (axial) tomography
738,Catalonia,adjective Catalan
739,catch-22,"lc unless specifically referring to Joseph Heller’s 1961 novel Catch-22 , which explained the dilemma thus: “Orr would be crazy to fly more missions and sane if he didn’t, but if he were sane he had to fly them. If he flew them he was crazy and didn’t have to; but if he didn’t want to he was sane and had to”"
740,catchphrase,
741,catchup TV,not catch-up or catch up
742,cathedrals,"cap up, eg Béziers Cathedral (its full name is Cathédrale Saint-Nazaire-et-Saint-Celse de Béziers)"
743,catherine wheel,
744,Catholic church,"but if you mean Roman Catholic, say so"
745,caviar,not caviare
746,Cayman Islands,"British overseas territory in the western Caribbean Sea comprising the three islands of Grand Cayman, Cayman Brac and Little Cayman.

Do not abbreviate to “Caymans”"
747,CBeebies,
748,"CD, CDs, CD-Rom","a CD is a disc, not a disk"
749,"CE, BCE","some people prefer CE (common era, current era or Christian era) and BCE (before common era, etc) to AD and BC, which, however, remain our style"
750,ceasefire,
751,ceilidh,Scottish; céilí Irish
752,"celibate, celibacy","strictly refer to being unmarried (especially for religious reasons), but it is now acceptable to use them to mean abstaining from sexual intercourse"
753,cellphone,mobile phone in British English
754,celsius,"without degree symbol and with fahrenheit equivalent in brackets: 23C (73F), -3C (27F), etc; to convert celsius to fahrenheit, multiply by 9, divide by 5, then add 32; to convert fahrenheit to celsius, subtract 32, divide the answer by 9, then multiply by 5 (or use one of the many online calculators)"
755,Celtic,not Glasgow Celtic
756,cement or concrete?,"not interchangeable terms: cement is an ingredient of concrete, which is a mix of aggregates (sand and gravel or crushed stone) and paste (water and portland cement); so a “cement mixer” should always be referred to as a concrete mixer"
757,cenotaph,"“empty tomb” in Greek; there are many, all over the world, but the Cenotaph in Whitehall takes a capital C"
758,censer,container in which incense is burned; censor prevent publication; censure criticise severely
759,census,"In ancient Rome the censors, as well as censoring, also counted people in a census"
760,Center Parcs,
761,Centers for Disease Control and Prevention,
762,centimetres,"abbreviation cm , not cms"
763,Central African Republic,no “the”; CAR after first mention
764,Central America,"comprises Belize, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, and Panama"
765,central belt,"the swath across Scotland, containing Glasgow and Edinburgh, where population density is highest. It is in the south, not the centre of the country"
766,"Central line, central London",
767,centre on,"or centre in, but revolve around"
768,Centre Court,Wimbledon
769,century,"sixth century, 21st century, etc; but sixth-century remains, 21st-century boy, etc"
770,Cephalonia,eschew the variations
771,Cern,the Geneva-based European laboratory for particle physics
772,Cézanne.,Paul(1839-1906) French artist
773,CFC,chlorofluorocarbon
774,chablis,wines from Chablis
775,cha-cha-cha,"the dance, not cha-cha"
776,chair,"acceptable in place of chairman or chairwoman; if it seems inappropriate for a particular body, use a different construction (“the meeting was chaired by Ian” or “Kath was in the chair”)"
777,"Chakrabarti, Shami",Labour peer and former director of Liberty
778,champ at the bit,not chomp
779,champagne,
780,Champions League,
781,Champs Élysées,
782,"chancellor of the duchy of Lancaster, chancellor of the exchequer",
783,changeable,
784,"Channel, the",not the English Channel
785,"Channel 4, Channel 5",
786,Channel Islands,"British crown dependencies grouped for administrative purposes into two bailiwicks, each with its own bailiff (chief justice): Jersey (comprising the island of Jersey) and Guernsey (comprising the islands of Guernsey, Alderney, Sark, Herm, Jethou and Brecqhou).

The other crown dependency is the Isle of Man.

People live in (not on) Jersey, Guernsey and the Isle of Man."
787,Channel tunnel,not Chunnel
788,chaos theory,"is not a synonym for chaos. It describes the behaviour of dynamic systems that are sensitively dependent on their initial conditions. An example is the weather: under the “butterfly effect”, the flap of a butterfly’s wing in Brazil can in principle result in a tornado in Texas"
789,chapters,"like this: chapter 6, chapter 16, etc, whether of books or the UN charter"
790,chardonnay,"lc, like other wines, whether named after a grape (as in this case) or a region"
791,"chargé, chargée d’affaires",
792,Charity Commission,
793,Charter of the United Nations,"but UN charter is normally sufficient; chapter 1, etc (not roman numerals)"
794,Chartered Institute of Public Finance and Accountancy,Cipfa or the institute after first mention
795,chassis,singular and plural
796,"chateau, chateaux",no accent
797,Chatham House rule,"often mistakenly called “rules”. There is just one, namely: “When a meeting, or part thereof, is held under the Chatham House rule, participants are free to use the information received, but neither the identity nor the affiliation of the speaker(s), nor that of any other participant, may be revealed.” Chatham House is more formally known as the Royal Institute of International Affairs, based at Chatham House in London"
798,"chatroom, chatshow",
799,Chattogram,"not Chittagong, for the city in Bangladesh"
800,"Chávez, Hugo","elected president of Venezuela in 1998, and re-elected in 2000, 2006 and 2012; died in 2013"
801,"Chavismo, Chavistas",
802,chavs,a term best avoided
803,Chechnya,inhabited by Chechens
804,"check-in, checkout","noun, adjective"
805,"check in, check out",verb: so you might check in at the check-in after checking out the checkout desk
806,check up,verb; checkup noun
807,cheese,"normally lc, even if named after a place: brie, camembert, cheddar, cheshire, double gloucester, lancashire, parmesan, stilton, wensleydale, etc"
808,Chekhov,
809,Chek Lap Kok,"Hong Kong international airport, designed by Sir Norman Foster, opened in 1998"
810,Chelsea flower show,
811,Chennai,formerly Madras
812,chequebook,
813,"cherrypick, cherrypicker",
814,cherubim,plural of cherub
815,Cheshire cat,but cheshire cheese
816,chickenpox,one word
817,chicken tikka masala,Britain’s favourite dish until chicken jalfrezi displaced it (according to a 2011 poll); note that there is also an Italian dish called chicken marsala
818,chief,"(“planning chiefs”, etc): try to use proper titles; officers or officials may be preferable"
819,chief constable,"a job, not a title – John Smith, the chief constable of Greater Manchester; Smith at second mention"
820,chief rabbi,"lc, a style consistent with that followed by Haaretz and the Jerusalem Post"
821,"chief secretary to the Treasury, chief whip",
822,"childcare, childminder",
823,childish or childlike?,Laughing when someone breaks wind is childish; laughing when someone is flying a kite is childlike
824,Child,line
825,child sexual abuse,"rather than “child sex”; so for example we would refer to a “child sexual abuse ring” rather than a “child sex ring”, but say “child sex offender” rather than “child sexual offender”.

Say child sexual abuse images or child abuse images rather than “child pornography”, “child porn” and especially the tabloid “kiddy porn”. The NSPCC says that such terms give “a misleading and potentially trivialising impression of what is a very serious crime”, and favours the term “child abuse images”.

Avoid using the term “historical” to describe sexual abuse crimes from the past. Survivors, particularly adults who were abused as children, feel the term undermines the long-lasting impact of the crimes. Try to date the crimes (year, decade etc) instead, or say they happened in the past eg “Detectives are investigating allegations of child sexual abuse from more than 30 years ago.” Exceptions may be necessary in court cases where specific wording is required. (See also abuse. )

A footnote with details about support services should be added to stories about child sexual abuse from a relevant selection of the following:

The NSPCC offers support to children on 0800 1111, and adults concerned about a child on 0808 800 5000. The National Association for People Abused in Childhood ( Napac ) offers support for adult survivors on 0808 801 0331.

The NSPCC offers support to children on 0800 1111, and adults concerned about a child on 0808 800 5000. The National Association for People Abused in Childhood ( Napac ) offers support for adult survivors on 0808 801 0331."
826,chilli,with two Ls but note Red Hot Chili Peppers
827,Chinese names,"Mainland China: in two parts, eg Mao Zedong, Zhou Enlai, Jiang Zemin. Hong Kong, Taiwan: in two parts with hyphen, eg Tung Chee-hwa, Chiang Kai-shek (exception: when a building, park or the like is named after a person it becomes three parts, eg Chiang Kai Shek Cultural Centre); note also that Korean names are written the same way, eg Kim Il-sung. Singapore, Malaysia: in three parts, eg Lee Kuan Yew.

For people with Chinese names elsewhere in the world, follow their preference – but make sure you know which is the surname"
828,Chinese whispers,avoid except in direct quotes
829,chink,"Please avoid this word, even in phrases such as “chink in the armour”"
830,Chloé,(fashion) note accent
831,chock-a-block,
832,chocoholic,not chocaholic
833,chocolatey,
834,"Chomsky, Noam",US linguist and political activist
835,choose,"for some mysterious reason this often appears in the paper as “chose”, its past tense"
836,chord,musical; strike a chord
837,Chornobyl,"not Chernobyl, for the site of the nuclear disaster in Ukraine"
838,Christ Church,Oxford (not Christ Church College)
839,"christened, christening",only when referring to a Christian baptism: don’t talk about a boat being christened or a football club christening a new stadium; named is fine
840,"Christian, Christianity",but unchristian
841,Christian name,"use first name, forename or given name (which in many cultures comes after the family name)"
842,Christian Union,an evangelical Christian organisation
843,Christie’s,the auction house; Christies the holding company has no apostrophe
844,"Christmas Day, Christmas Eve",
845,chronic,"means lasting for a long time or constantly recurring, too often misused when acute (short but severe) is meant"
846,Chumbawamba,"(not Chumbawumba) band whose guitarist, Danbert Nobacon, threw a bucket of iced water over John Prescott, the then deputy prime minister, at the 1998 Brit awards"
847,church,"lc for the established church, eg “the church is no longer relevant today”; Anglican church, etc, but Church of England (abbreviation: C of E)"
848,cineaste,"someone who enjoys films; but note that, in France, a cinéaste is someone who makes them"
849,cinemagoer,
850,cinéma vérité,
851,"cisgender, cis","A person whose identity aligns with their sex observed at birth. From the Latin cis , meaning “on the same side”. Used when comparing the trans experience with that of the non-trans population, eg how trans men and cis men navigate the health service. Avoid talking about trans women v women, or trans men v men. As this is a relatively new term, talk to editors if you are planning to use it in furniture

cis"
852,Cites,convention on international trade in endangered species of wild fauna and flora
853,Citizens Advice,"what the organisation likes to be called, although it still runs bureaux"
854,citizens’ assembly,
855,Citroën,
856,city,in Britain a town that has been granted a charter by the crown; it usually has a cathedral; City capped when used as shorthand for the City of London
857,city hall,"lowercase except in the official name of a building, for example City Hall in London, Sheffield City Hall"
858,City of London Corporation,the corporation after first mention
859,"City, University of London",Added comma after joining the University of London on 1 September 2016
860,"civil servant, civil service",
861,Civvy Street,
862,CJD,"Creutzfeldt-Jakob disease, not normally necessary to spell it out; it is acceptable to refer to variant CJD as the human form of BSE, but not “the human form of mad cow disease”"
863,claim,"“Claims” carries an implication of doubt over what has been said, but is inappropriate when the statement is uncontroversial"
864,Claire’s,no longer Claire’s Accessories
865,Clapham Junction,"and Clapham are two distinct, separate areas of south London.

Clapham Junction should be called just that: it is not only a railway station but an area in its own right with its own shopping street. It is part of Battersea and comes under Wandsworth council.

Clapham is about a mile and a half away, also has its own high street, and is part of Lambeth council"
866,class A drugs,
867,classic or classical?,"The latter is best reserved for ancient Greece or Rome or in the phrase “classical music”. The former is used to describe a notable example of a particular era or style.

The Goths sacked Rome in classical times; Temple of Love by the Sisters of Mercy is a goth classic"
868,classical music,"Mozart’s 41st Symphony (or Symphony No 41) in C, K551; Rachmaninov’s Piano Concerto No 2; Schubert’s Sonata in A minor for Piano, D845"
869,clause IV,"of the Labour constitution, rewritten in 1995; also by extension to “clause IV moment” as in “will the Tories experience their own clause IV moment?”"
870,clearcut,
871,clearing,part of the Ucas admissions process matching students with unfilled places at universities and colleges
872,cliches,"Overused words and phrases to be avoided, some of which merit their own ignominious entry in this guide, include: ahead of, back burner, boost (massive or otherwise), bouquets and brickbats, but hey ... , controversial, count ‘em, drop-dead gorgeous, elephant in the room, famous, fit for purpose, flagship, landmark, key, major, massive, meanwhile, ongoing, politically correct, raft of measures, set to, special, stepchange, to die for, upcoming, upsurge; verbs overused or misused in headlines include: bid, boost, downplay, fuel, hike, insist, probe, quiz, ramp up, signal, spiral, target, unveil.

A survey by the Plain English Campaign found that the most irritating phrase in the language was “at the end of the day”, followed by (in order of annoyance): at this moment in time, like (as in, like, this), with all due respect, to be perfectly honest with you, touch base, I hear what you’re saying, going forward, absolutely, and blue sky thinking; other words and phrases that upset people included 24/7, ballpark figure, bottom line, diamond geezer, it’s not rocket science, ongoing, prioritise, pushing the envelope, singing from the same hymn sheet, and thinking outside the box"
873,clickbait,one word
874,cliffhanger,one word
875,Climate Camp,disbanded in March 2011; its full name was Camp for Climate Action
876,climate change,"is no longer considered to accurately reflect the seriousness of the overall situation; use climate emergency or climate crisis instead to describe the broader impact of climate change. However, use c limate breakdown or climate change or global heating when describing it specifically in a scientific or geophysical sense eg “Scientists say climate breakdown has led to an increase in the intensity of hurricanes”"
877,Climate Change Committee,"the UK independent adviser on climate change. Previously known as the Committee on Climate Change climate science denier or climate denier The OED defines a sceptic as “a seeker of the truth; an inquirer who has not yet arrived at definite conclusions”.

Most “climate sceptics”, in the face of overwhelming scientific evidence, deny climate change is happening, or is caused by human activity, so denier is more accurate"
878,climbdown,noun; climb down verb
879,clingfilm,
880,clinically extremely vulnerable people,"can abbreviate to CEV people from second mention. Avoid using “extremely vulnerable” or “clinically vulnerable” as these both have different meanings, and avoid referring to “the vulnerable”"
881,"Close, Glenn",two Ns (as in bunny boiler)
882,closeup,"closed up, as in “I’m ready for my closeup”"
883,cloud cuckoo land,
884,CO2,"CO 2

2"
885,"coalfield, coalmine, coalminer",
886,Coalite,TM
887,coalition government,Con-Lib if you are being polite; Lib-Con if you are a sceptic; Con-Dem if you want to be rude
888,coarse fishing,we have been known to spell it “course”
889,coastguards,"HM Coastguard (UK), but US Coast Guard"
890,Cobra,"government crisis response committee, so-called because it originally met in Cabinet Office Briefing Room A. The US equivalent is the White House Situation Room"
891,"Coca-Cola, Coke",TM; the generic term is cola; coke for smokeless fuel and cocaine
892,cockney,
893,coconut,
894,co-defendant,
895,coexist,
896,cohabitant,not cohabitee
897,cold war,
898,Cold War Steve,
899,Coliseum,London theatre; Colosseum Roman amphitheatre
900,collectible,
901,collective nouns,"Nouns such as committee, family, government, jury, squad and team take a singular verb or pronoun when thought of as a single unit, but a plural verb or pronoun when thought of as a collection of individuals:

The committee gave its unanimous approval to the plans;

The committee enjoyed biscuits with their tea.

The family can trace its history back to the middle ages;

The family were sitting down, scratching their heads.

The squad is looking stronger than for several seasons;

The squad are all very confident that they will win promotion this season"
902,collector’s item,
903,College of Arms,
904,colleges,"take initial caps, eg West Kent College; but not when college forms part of the name of a school, eg Bash Street sixth-form college, Eton college"
905,Colombia,South American country that we frequently misspell as “Columbia”
906,colon,"Use between two sentences, or parts of sentences, where the first introduces a proposition that is resolved by the second, eg Fowler put it like this: to deliver the goods invoiced in the preceding words.

A colon, rather than a comma, should be used to introduce a quotation: “He was an expert on punctuation,” or to precede a list – “He was an expert on the following: the colon, the comma and the full stop.”

Use before quotes when the quote could stand on its own as a sentence. He said: “You’ll never take me alive.”

When a colon is used in a headline, the next word is usually lowercase, eg Osborne: there is no plan B. One exception to this rule is in web furniture where the colon comes after the title of a series, for example as in the headline “Digested week: Words mattered to Stephen Sondheim”. Similarly, in a standfirst after a descriptive tag such as “Exclusive” or “Analysis” the next word should take an initial cap. Another exception on the web is when the colon introduces a complete sentence in quotation marks, such as Maro Itoje: ‘Whenever England take the field we should win’

This 2010 example from the Guardian is an awful (but by no means isolated) example of the tendency to use a semicolon where only a colon will do (all the more unfortunate for distracting the reader from a funny sentence): “Here’s a task for the new coalition government; set up a Drumming Taskforce today, and appoint a Snare Tsar.”

We are in danger of losing the distinction between colon and semicolon; many writers seem to think they are interchangeable but to make it clear: they are not.

See semicolon"
907,colonel,"Colonel Napoleon Bogey, subsequently Bogey (Col Bogey in leading articles)"
908,Columbia,"as in District of Columbia (Washington DC) and Columbia University (New York), Columbus Day (12 October, marking the date Christopher Columbus landed in the West Indies in 1492); Columbus is also the state capital of Ohio"
909,comedian,male and female; do not use comedienne
910,commando,plural commandos
911,commas,"Use a comma to help the reader by inserting breathing space into a sentence: “When the Dutch reflect on their performance in the World Cup final, they will not find it hard to see why their aggressive tactics lost them many friends in 2010.”

“The editor, Katharine Viner, is a woman of great vision” – commas if there is only one editor.

“The subeditor Amelia Hodsdon is all style and no substance” – no commas if there is more than one subeditor.

A misplaced comma can sabotage a sentence, as in this example from the paper: “Neocon economists often claim a large, black economy turbo-powers growth ...” (the writer was talking about a big black economy, not a big and black one, which is not the same at all).

A comma is also crucial to avoid ambiguity in examples such as this: “Part of the report will heavily criticise a so-called power culture among the Dublin bishops who have been accused of not taking the allegations seriously.” We should have inserted a comma after “bishops” to make clear that all the Dublin bishops have been accused; as published, the sentence implies that only some of the bishops have.

See Oxford comma"
912,commented,“said” is normally adequate
913,commingle,"to mix or blend; the spelling “co-mingle”, used by Shakespeare in Hamlet, is obsolete"
914,common agricultural policy,lc but the abbreviation is CAP
915,"Commons, House of Commons","but the house , not the House"
916,Commons committees,"lc, home affairs select committee, public accounts committee, etc"
917,common sense,noun; commonsense adjective: “William Hague’s ‘commonsense revolution’ showed little common sense”
918,Commonwealth,"for the Commonwealth of Nations (formerly the British Commonwealth), which has 54 members, mostly former territories of the British empire"
919,commonwealth,for the commonwealth of Australia
920,Commonwealth heads of government meeting (Chogm),
921,Commonwealth War Graves Commission,
922,communique,no accent
923,"communism, communist","lc, except in name of party, eg Communist party of Great Britain (Marxist-Leninist)"
924,community,the subediting community is encouraged to weed out examples of this shockingly overused word
925,community charge,"what no one, apart from a handful of Conservative ministers, called the poll tax"
926,company names,"A difficult area, as so many companies have adopted unconventional typography and other devices that, in some cases, turn their names into logos. In general, we use the names that companies use themselves: c2c, Capgemini, easyJet, eBay, ebookers, iSoft Group, etc. Some of these look odd, particularly when used as the first word in a headline, although some are becoming more familiar with time.

Exceptions include Adidas (not adidas), ABN Amro (not ABN AMRO), BAE Systems (not BAE SYSTEMS), Toys R Us (do not attempt to turn the R backwards), Yahoo (no exclamation mark).

Company names are always singular"
927,compare to or with?,"The former means liken to, the latter means make a comparison: so unless you are specifically likening someone or something to someone or something else, use compare with.

A former lord chancellor compared himself to Cardinal Wolsey because he believed he was like Wolsey; I might compare him with Wolsey to assess their relative merits.

As so often, we are indebted to Prince for the grammatically immaculate Nothing Compares 2U"
928,compass points,"lc for regions: eg the north, the south of England, the south-west, north-east Scotland, south Wales.

The same applies to geopolitical areas: the west, western Europe, south-east Asia, etc.

Cap up, however, when part of the name of a county (eg West Sussex, East Riding of Yorkshire), local authority area (North Somerset, South Gloucestershire), or province (East Java, North Sulawesi, etc).

Note the following: East End, West End (London), Middle East, Central America, North America, South America, Latin America"
929,Competition and Markets Authority,"formerly the Competition Commission (and yes, there is still only one)"
930,"complement, compliment, complimentary",to complement is to make complete: “the two strikers complemented each other”; to compliment is to praise; a complimentary copy is free
931,complacent,self-satisfied
932,complainers,"the Scottish legal term for complainants. Always include a brief explanation for readers outside Scotland eg “... the complainers, the Scottish legal term for complainants, allege that ...”"
933,complaisant,obliging
934,complicit,"You can be complicit in a crime, for example, if you know about it but fail to report it"
935,"comprise, consist, compose or constitute?","Tricky, but to get these right, just remember that comprise or consist of mean “made up of” while compose and constitute mean “make up”.

So you might say a band comprises guitar, bass, drums and keyboards or that it consists of guitar, bass, drums and keyboards. You can also say the band is composed of those instruments. Alternatively, you could say guitar, bass, drums and keyboards compose or constitute the band.

The one thing to avoid, unless you want people who care about such things to give you a look composed of, consisting of and comprising mingled pity and contempt, is “comprised of”"
936,computer game,video game is preferable
937,concentration/death camps in Poland,should be referred to as “Nazi concentration/death camps in German-occupied Poland” (see entry on “Polish death camps”)
938,Concord,town in Massachusetts; Concorde plane
939,confidant,male; confidante female
940,congestion charge,
941,the Republic of the Congo,"also known as Congo-Brazzaville, it was the colony of French Congo until independence in 1960. Not to be confused with its neighbour, the Democratic Republic of the Congo (DRC). Both countries border the Congo river"
942,Congregational,"uc when referring to the Congregational Union of England and Wales, formed in 1832, which joined the Presbyterian Church of England in 1972 to form the United Reformed Church (please, not “Reform”)"
943,Congress,"comprises the House of Representatives (the House) and Senate; but lc congressman, congresswoman, congressional"
944,conjoined twins,not Siamese twins
945,conman,
946,connection,not connexion
947,conservationist,"A person who works to preserve and manage the natural environment, as opposed to a conservator, who works to repair and preserve cultural objects"
948,"Conservative central office, Conservative party",
949,conservator,"A person who works to repair and preserve cultural objects, as opposed to a conservationist, who works to preserve and manage the natural environment"
950,consortium,plural consortiums not consortia
951,constitution,lc as in the US constitution
952,Consuelo,"not Consuela; from a reader: “I really have had enough of show-off ignoramuses messing up my name. Consuelo is a Spanish abstract noun, masculine, invariable. Pilar and Mercedes are also Spanish female names derived, like Consuelo, from titles of the Virgin Mary”"
953,consult,not consult with
954,consumer price index (Australia),
955,consumer prices index (UK),"forms the basis for the government’s inflation target and other inflation-linked tools; CPI after first mention. But note, consumer price inflation (no ‘s’ on price)."
956,Consumers’ Association,"now known as Which?, after its magazine"
957,contagious,"generally refers to a disease that is spread via contact. If you’re not sure how a disease is spread, or if it is spread via several means, use infectious or transmissible instead"
958,container ship,"not a synonym for cargo ship. Container ships are usually easy to spot because of the containers above deck. Other kinds of cargo ship include bulk carriers, which transport goods such as grain, iron ore and coal in their holds"
959,contemporary,"of the same period, though often wrongly used to mean modern; a performance of Shakespeare in contemporary dress would involve Elizabethan costume, not 21st-century clothes"
960,contemptible,deserving contempt
961,contemptuous,displaying contempt
962,"continent, the",but mainland Europe is preferable
963,continual or continuous?,the former refers to things that recur repeatedly but not constantly; the latter indicates an uninterrupted sequence: “My car continually breaks down because the radiator leaks continuously”
964,contractions,"Do not overuse contractions such as aren’t, can’t, couldn’t, hasn’t, don’t, I’m, it’s, there’s and what’s (even the horrific “there’ve” has appeared); while they might make a piece more colloquial or easier to read, they can be an irritant and a distraction, and make a serious article sound frivolous. They also look horrible"
965,controversial,"overused, typically to show that the writer disapproves of something (“the government’s controversial free schools scheme”); like “famous”, it can normally be safely removed from copy to allow readers to make up their own minds"
966,convener,not convenor
967,conversion practices,preferable to the term conversion “therapy” when referring to organisations’ efforts to try to change a person’s sexuality or gender identity
968,conversions,"We give metric measures and convert on first mention only to imperial in brackets (exceptions: miles and pints); if a rough figure is given in metric, do not convert it into an exact figure in imperial, and vice versa, eg if someone says the towns are about 50km apart, convert to 30 miles, not “31.07 miles”; the same goes for rough amounts of currencies, though don’t round up £3.6bn to £4bn"
969,convertible,not -able
970,convince or persuade?,"Having convinced someone of the facts, you might persuade them to do something, although you can be persuaded to do something without necessarily being convinced that it’s the right thing"
971,Co-operative Bank (,"abbreviation: Co-op bank), Co-operative Group, Co-operative party"
972,Co-op,as in “I still shop at the Co-op”
973,co-operative movement,"when talking about Robert Owen, the Rochdale Pioneers, etc"
974,co-operative,(abbreviation: co-op ) as in a housing co-operative
975,"cooperative, cooperate, cooperation","when used in a general sense, as in “they were surprisingly cooperative when asked to work longer hours for less money”"
976,co-opt,
977,coordinate,
978,co-pilot,captain and first officer are preferable to pilot and co-pilot (they are both pilots)
979,cop-out,
980,Cop26,"avoid COP26, Cop 26 or any other variation"
981,copy editor,"what subeditors are known as in the United States and Canada, where they copy-edit"
982,copyright,but copywriter
983,"Corbusier, Le","(1887-1965) Swiss architect and city planner, born Charles-Edouard Jeanneret"
984,Córdoba,
985,cords,"vocal, spinal, umbilical, trousers; chords musical"
986,cornflakes,in general but Kellogg’s Corn Flakes
987,Cornish pasty,
988,coronavirus outbreak 2019-20,"The virus is officially called Sars-CoV-2 and this causes the disease Covid-19. However, for ease of communication we are following the same practice as the WHO and using Covid-19 to refer to both the virus and the disease in our general reporting. It can also continue to be referred to as the coronavirus."
989,coroner’s court,
990,corporation of London,
991,corps de ballet,
992,cortege,no accent
993,cosmetic surgery,"is not the same as plastic surgery, which should be reserved for people treated for deformity or illness"
994,Council of Europe,"not an EU institution so not to be confused with the European Council, which is"
995,councillor,"use as a description, not a title, eg the councillor Jacqueline Weaver, followed by Weaver at subsequent mentions, not Cllr Weaver"
996,councillor or counsellor?,"A councillor serves on a local council; a counsellor offers advice. Just to confuse everyone, a member of the privy council is a privy counsellor"
997,councils,"Only the placename takes a capital: Lancaster city council, London borough of Southwark, Kent county council, etc; it is normally sufficient to say Lancaster council, Southwark council, etc"
998,count ‘em,"cliche often seen in parenthesis after a number is mentioned. For example, an article referred to “the seminal Andrex puppy advent calendar with 25 – count ‘em – puppy pictures ... “"
999,"counteract, counterattack, countermeasures, counteroffensive",but counter-terrorism
1000,County,"not Co, when referring to counties eg County Armagh"
1001,coupe,no accent
1002,courts,"all lc, eg court of appeal, court of session, high court, magistrates court (no apostrophe), supreme court, European court of human rights, international criminal court"
1003,court martial,plural courts martial
1004,court of St James’s,
1005,couscous,
1006,cover up,verb; cover-up noun
1007,co-worker,"colleague (but not “work colleague”) is generally preferable, but if you do use it, include the hyphen to stop it looking like someone who orks cows"
1008,CPAC,Conservative Political Action Conference
1009,CPRE,Campaign to Protect Rural England (formerly the Council for the Protection of Rural England)
1010,CPS,Crown Prosecution Service
1011,"Cradock, Fanny","(1909-94) TV chef, often misspelt as “Craddock”"
1012,"crapulent, crapulous","drunk; hence crapula , hangover"
1013,crash or collision,"both are more objective than, and therefore usually preferable to, the term accident when describing traffic incidents. Unless the full circumstances are known, say that vehicles collided, rather than that one vehicle crashed into another, but use common sense so as to avoid sentences such as: “The car and the pedestrian collided on the pavement”"
1014,creche,no accent
1015,credible,"believable, hence credibility; incredible means unbelievable"
1016,credulous,"gullible, hence credulity; incredulous means amazed"
1017,"creme brulee, creme fraiche",
1018,crescendo,"a gradual increase in loudness or intensity; musically or figuratively, it is the buildup to a climax, not the climax itself (we frequently get this wrong)"
1019,cretinism,"a medical condition, not a term of abuse"
1020,cricket,"leg-side, leg-spinner, off-spin, off-stump, silly mid-on, mid-off, etc, all hyphenated"
1021,Crimean Bridge,"the official name for the bridge between Russia and Crimea, which you can refer to informally as the Kerch bridge. It crosses the Kerch strait"
1022,"cripple, crippled",offensive and outdated when referring to people but can be used judiciously in a metaphorical context eg the crippled economy
1023,Crispr-Cas9,followed by Crispr at subsequent mentions for the gene-editing tool
1024,crisscross,
1025,criterion,plural criteria
1026,critique,"a noun meaning review, rather than a verb meaning criticise"
1027,crocodile-infested,please avoid. You can say “crocodile-filled waters” instead
1028,Crombie,"TM; the company’s wool coats have been popular with, among others, the Confederate army in the 1860s and mods in the 1960s"
1029,CrossFit,TM; fitness ‘philosophy’ combining exercises from various disciplines
1030,"crowdfunding, crowdsourcing",
1031,"Crowley, Aleister",dead satanist
1032,"crown, the; crown estate, crown jewels",
1033,crown dependencies,"The Isle of Man and the bailiwicks of Jersey and Guernsey in the Channel Islands. They are self-governing possessions of the crown recognised internationally as “territories for which the United Kingdom is responsible”.

Each has a chief minister as head of government and a legislative assembly which can pass laws subject to royal assent through the privy council.

Do not confuse them with the 14 British overseas territories (BOTs)"
1034,crucifix,not synonymous with cross: a crucifix depicts the body of Christ on the cross
1035,"crucifixion, the",
1036,Crufts,
1037,cruise missile,
1038,"Crusades, the",
1039,"Cruz, Penélope",
1040,cryonics and cryogenics,"Cryonics is the broad term for the freezing of human or animal corpses in the hope of restoring them to life in future; cryogenics is the more specific scientific study of the production of very low temperatures and how materials behave at these temperatures. As an example, a person can announce they wish to be cryogenically frozen, but their decision may restart the debate about the ethics of cryonics"
1041,"cubism, cubist",
1042,Cub scouts,"boys (and now girls) aged from eight to 10, organised in packs but no longer known as “Wolf Cubs”; avoid dated “Dyb Dyb Dyb, Dob Dob Dob” jokes but if relevant, it is spelt thus (it stands for “do your best” and we will “do our best”), and not “Dib”"
1043,cuckoo clock,"originated in Germany, not Switzerland"
1044,cucumiform,cucumber-shaped
1045,cull,"means pick or choose as in “culled from the best authors”. It doesn’t mean killed, axed or massacred (though you cull sheep in order to kill them). So a jobs cull does not mean the same as mass sackings"
1046,Cultural Revolution,launched by Mao Zedong in China in 1966
1047,CULV,consumer ultra-low voltage
1048,cum,"Latin for “with”, seen in such placenames as Chorlton-cum-Hardy, and phrases such as cross-cum-shot (in football) and cookbook-cum-autobiography – unfortunately, we wrote “cookbook-come-autobiography”"
1049,Cumberland sausage,"It now has protected status, and must be made in Cumbria; hence capital C"
